"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","sample_name","sample_type"
0.0155,0.044,0.059,0.0325,0.0365,0.013,0.03,0.049,0.0915,0.0715,0.167,0.094,0.0685,0.043,0.115,0.07,"ref_sample_1","reference"
0.031,0.012,0.1785,0.052,0.315,0.126,0.011,0.0715,0.0085,0.008,0.0805,0.023,0.0045,0.007,0.055,0.0165,"ref_sample_2","reference"
0.001,0.0075,0.174,0.0825,0.14,0.072,0.0035,0.137,5e-04,0,0.01,0.0065,0.005,0.0035,0.244,0.113,"ref_sample_3","reference"
0.0055,0.005,0.0015,0.0025,0.313,0.1985,0.158,0.077,0.001,0.024,0.003,0.0115,0.0055,0.135,0.0185,0.0405,"ref_sample_4","reference"
0.09,0.19,0.0035,0.147,0,0.003,0.1605,0.077,0.03,0.0175,5e-04,0.0215,0.113,0.055,0.002,0.0895,"ref_sample_5","reference"
0.002,0.0595,0.003,0.0275,0.025,0.3695,0.081,0.055,0.01,0.0445,0.0045,0.0365,0.0235,0.158,0.0115,0.089,"ref_sample_6","reference"
0.0565,0.098,0.0725,0.072,0.0215,0.045,0.1275,0.0915,0.009,0.007,0.0085,0.0075,0.103,0.103,0.082,0.0955,"ref_sample_7","reference"
0.008,0.0835,0.0015,0.024,0.037,0.343,0.159,0.048,0.016,0.044,5e-04,0.014,0.034,0.139,0.002,0.0465,"ref_sample_8","reference"
0.168,0.112,0.128,0.095,0.017,0.0075,0.1125,0.0845,0,0,0,0,0.1035,0.043,0.0745,0.0545,"ref_sample_9","reference"
0.0145,0.0255,0.0045,0.0155,0.2175,0.1825,0.124,0.0695,0,0,0,0.001,0.0165,0.2005,0.0195,0.109,"ref_sample_10","reference"
0.1885,0.0525,0.19,0.086,0.0535,0.033,0.017,0.0315,0.0295,0.0095,0.0415,0.0135,0.0875,0.0195,0.104,0.043,"ref_sample_11","reference"
0,5e-04,0,5e-04,0,0,0,0,0.2465,0.1225,0.233,0.1885,0.0655,0.0275,0.0555,0.06,"ref_sample_12","reference"
0.032,0.1685,0.1485,0.0815,0.007,0.014,0.124,0.151,0.0415,0.023,0.05,0.0365,0.034,0.018,0.043,0.0275,"ref_sample_13","reference"
0.0595,0.053,5e-04,0.0415,0.0225,0.0265,0.051,0.0225,0.182,0.1425,0,0.0925,0.1205,0.1155,5e-04,0.0695,"ref_sample_14","reference"
0.024,0.023,0.161,0.049,0.191,0.079,0.0175,0.1175,0.0015,5e-04,0.011,0.0055,0.0205,0.032,0.2095,0.0575,"ref_sample_15","reference"
0.1115,0.0525,5e-04,0.073,0.129,0.0575,0.1065,0.054,0.0895,0.0745,5e-04,0.085,0.0425,0.0685,0,0.055,"ref_sample_16","reference"
